Alberta Cancer Research Biobank,http://www.acrb.ca/,canada
Arthroteq,http://www.arthroteq.com,canada
BRI Biopharmaceutical Research,http://www.bripharm.com/,canada
BC Cancer Agency,http://www.bccancer.bc.ca/,canada
Betagenex,http://www.betagenexresearch.com,canada
British Columbia Breast Cancer Tumour Bank,http://molonc.bccrc.ca/platforms/btb/,canada
"BoZo Research Center, Inc.",http://www.bozo.co.jp/english/,canada
Biospective,http://www.biospective.com/,canada
BioAuxilium Research,http://www.bioauxilium.com/,canada
CNSCRO,http://www.cnscro.com/,canada
CMX Research,http://www.cmxres.com,canada
CiToxLAB,http://www.citoxlab.com/,canada
Canadian Tumour Repository Network,https://www.ctrnet.ca/,canada
Canadian Virtual Brain Tumour Network,http://www.braintumourbank.ca/,canada
CARTaGENE,http://www.cartagene.qc.ca/en,canada
Custom Biologics,http://www.custombiologics.com/,canada
Critical Outcome Technologies,http://www.criticaloutcome.com,canada
Cornerstone Research Group, Inc.,www.cornerstone-research.com,canada
Domain Therapeutics,http://www.domaintherapeutics.com,canada
DiaTech Oncology,http://www.diatech-oncology.com,canada
FUJUFILM VisualSonics, Inc.,http://www.visualsonics.com/,canada
Hamilton Health Sciences,http://www.hamiltonhealthsciences.ca/,canada
Innovascreen,http://www.innovascreen.com,canada
ITR Canada,http://www.itrlab.com/site/index.php,canada
IPS Therapeutique,http://www.ipstherapeutique.com,canada
KGK Synergize,http://www.kgksynergize.com,canada
Kairos Therapeutics,http://kairostherapeutics.com/,canada
Lawson Imaging,https://www.lawsonimaging.ca/imaging/,canada
Lawson Brain Tumour Tissue Bank,http://www.braintumour.ca/184/brain-tumour-tissue-bank,canada
London Regional Genomics Centre,http://www.lrgc.ca/,canada
Montreal Neurological Institute and Hospital Cyclotron and Radiochemistry Facility,http://www.mcgill.ca/neuro/research/cyclotron-and-radiochemistry-facility,canada
Montreal Children's Hospital,http://www.thechildren.com/research,canada
MediLumine,https://www.medilumine.com,canada
Manitoba Breast Tumour Bank,https://www.umanitoba.ca/institutes/manitoba_institute_cell_biology/MICB/Platforms/MbTumourBank.html,canada
Mispro Biotech Services,http://misprobiotech.com,canada
MethylGene,http://www.methylgene.com,canada
Nucro-Technics,http://www.nucro-technics.com/,canada
Nexus Oncology,http://www.nexusoncology.com,canada
NuChem Therapeutics,http://nuchemtherapeutics.com/,canada
Ontario Cancer Biomarker Network (OCBN),http://www.ocbn.ca/,canada
Ottawa Hospital Research Institute Genvira Biosciences Core,http://www.ohri.ca/genvira/,canada
Ontario Tumour Bank,http://www.ontariotumourbank.ca/,canada
Oncodesign Biotechnology,http://www.oncodesign.com/,canada
Precision Proteomics,precisionproteomics.ca,canada
PROCURE Quebec Prostate Cancer Biobank,http://biobanque.procure.ca/,canada
PAIRimmune,http://pairimmune.com/,canada
Quebec Leukemia Cell Bank,http://bclq.org/,canada
Quorum Technologies, Inc.,http://www.quorumtechnologies.com/,canada
SV ChemBioTech,http://www.svchembiotech.com/,canada
Southern Alberta Cancer Research Institute,http://www.ucalgary.ca/antibody/index.htm,canada
SGS Life Science Services,http://www.sgs.com/lifescience,canada
Spectrum Pharmaceuticals,http://www.sppirx.com/,canada
The Clinical Trial Company,http://www.theclinicaltrialcompany.co.uk/,canada
Univ. of Montreal IRIC Genomics Platform,http://genomique.iric.ca,canada
University of Montreal IRIC Center for Advanced Proteomics Analyses (CAPA),https://proteomics.iric.ca/,canada
University of Toronto FoM Sunnybrook Research Institute Device Development Lab,http://sunnybrook.ca/research/content/?page=sri-core-device-development-lab,canada
University of Toronto FoM Sunnybrook Research Institute Good Manufacturing Practices Facility,http://sunnybrook.ca/research/content/?page=sri-core-cgmpf,canada
University of Toronto FoM Sunnybrook Research Institute Genomics Core Facility,http://sunnybrook.ca/research/content/?page=sri-core-genomics,canada
University of Toronto FoM Sunnybrook Research Institute Computed Tomography Facility,http://sunnybrook.ca/research/content/?page=sri-core-computed-tomography-facility,canada
University of Alberta - KMT Hepatech,http://www.kmthepatech.com/,canada
VivoCore, Inc.,http://www.cancog.com/,canada
Walpole Pharma Consulting,http://www.walpolepharmaconsulting.com,canada
Woodland BioSciences,http://woodlandbiosciences.com/contact.asp,canada
Angiochem Inc.,http://angiochem.com/,canada
Albert Einstein College of Medicine YU MicroPET Core,http://www.einstein.yu.edu/research/shared-facilities/cores/24/micropet-facility/,germany
BLS Laboratories,http://www.bls-germany.com/,germany
Berlin-Brandenburg Center for Regenerative Therapies,http://bcrt.charite.de/,germany
BIOBANK of Blood Donors,http://www.bio-bank.de/en/,germany
Bavarian Nordic GMBH,http://www.bavarian-nordic.com/,germany
Bruker Biospin,http://www.bruker-biospin.com,germany
BioNTech AG,,germany
CentroDerm,http://dirschka.de/,germany
CPO - Cellular Phenomics & Oncology Berlin-Buch GmbH,http://www.cellphenomics.com,germany
Coriolis Pharma,http://www.coriolis-pharma.com/,germany
Cellzome,http://www.cellzome.com/,germany
DKFZ German Cancer Research Center,http://www.dkfz.de/gpcf/ngs_sequencing.html,germany
Danubian Biobank Consortium,http://www.danubianbiobank.de/DanubPublic/misc/mscHome.jsp,germany
Expert Bioinformatics,http://expertbioinformatics.com/,germany
Fraunhofer ITEM,http://www.item.fraunhofer.de/english/index.html,germany
German Institute of Human Nutrition (DIFE),http://www.dife.de/?lang=en,germany
GeneWake,http://www.genewake.com/,germany
Genome Biologics,www.genomebiologics.com,germany
ibidi GmbH,http://ibidi.com,germany
IDEXX,http://www.idexxbioresearch.eu  or  http://www.idexxanalytics.com,germany
ICRC-Weyer GmbH,http://icrc-weyer.com/,germany
MediGene,http://www.medigene.de,germany
Microsynth AG,https://www.microsynth.ch,germany
Neu Encepharm GmbH,http://www.encepharm.de/,germany
Nexus Oncology,http://www.nexusoncology.com,germany
Ncardia,http://www.ncardia.com,germany
OncoLead,http://www.oncolead.com,germany
preclinics Gesellschaft fuer praeklinische Forschung mbH,www.preclinics.com,germany
PhenoPro,http://www.phenopro.com/en/index.php,germany
Pure Biologics,http://purebiologics.com/,germany
Pathology Experts,http://www.pathexperts.com/,germany
Rules-Based Medicine, Inc.,http://rbm.myriad.com/,germany
Synovo,http://www.synovo.com,germany
SpheroTec,http://www.spherotec.com,germany
Sysmex Inostics,http://www.sysmex-inostics.com,germany
Scientific Consulting Company GmbH (SCC),http://scc-gmbh.de/,germany
Sciomics,http://www.sciomics.de/,germany
Taconic Biosciences,http://www.taconic.com,germany
Thymed,http://www.thymed.com,germany
TissUse,http://www.tissuse.com/,germany
TRON GmbH,http://tron-mainz.de/,germany
TPL Path Labs,http://tpl-pathology-labs.com/,germany
VivoPharm,http://www.vivopharm.com,germany
vivo Science,http://www.vivoscience.de,germany
VivaCell Biotechnology GmbH,http://www.vivacell.de/,germany
AID Autoimmun Diagnostika GmbH,www.immunomonitoring.com,germany
Aldevron,http://www.aldevron.com,germany
Axolabs,http://www.axolabs.com/,germany
Aurigon GmbH,http://www.aurigon.de,germany
3D Imaging,http://www.3dimagingllc.com/,united_states
Arkansas Children's Hospital Research Institute,http://achri.archildrens.org/index.htm,united_states
Arkana Laboratories - Zebrafish Core Program,https://www.arkanalabs.com/research/zebrafish/,united_states
Bostwick Laboratories,https://www.bostwicklaboratories.com/global/,united_states
Banner Sun Health Research Institute Brain and Body Donation Program,https://www.brainandbodydonationprogram.org/Default.aspx,united_states
Banner Health Brain & Tissue Bank,http://www.bannerhealth.com/Research/Research+Institutes/Banner+Sun+Health+Research+Institute/Research/Research+Programs/Brain+and+Body+Donation/Brain+and+Tissue+Bank.htm,united_states
Esoterix,http://www.esoterix.com/index.asp,united_states
Genzyme Genetics,http://www.genzymegenetics.com,united_states
LabCorp,http://www.labcorpclinicaltrials.com/contact_us/,united_states
Medelis,http://www.medelis.com/,united_states
Optimus Pharma Consulting,http://www.optimuspharmaconsulting.com/,united_states
St. Joseph's Hospital and Medical Center,http://www.dignityhealth.org/stjosephs/,united_states
The University of Arizona Cancer Center Biorepository,http://uacc.arizona.edu/research/shared-resources/tacmasr/tissue-acquisition,united_states
Translational Genomics Research Institute (TGen),https://www.tgen.org/,united_states
Translational Drug Development,http://www.td2inc.com/,united_states
The University of Arizona University HS Center for Applied & Genomic Medicine (TCAG2M),http://precisionhealth.uahs.arizona.edu/,united_states
The University of Arizona Clinical and Translational Science Center (CATS),http://www.cats.med.arizona.edu/index.php,united_states
The University of Arizona Cancer Center Laukaitis Cancer Genetics Lab,http://uacc.arizona.edu/research/lab/laukaitis,united_states
The University of Arizona Cancer Center Skin Cancer Institute,http://uacc.arizona.edu/sci,united_states
The University of Arizona Cancer Center TACMASR Routine Histology Core,http://uacc.arizona.edu/research/shared-resources/tacmasr/molecular-analysis/histology,united_states
The University of Arizona Cancer Center TACMASR Immunostaining Core,http://uacc.arizona.edu/research/shared-resources/tacmasr/molecular-analysis/immunostaining,united_states
The University of Arizona Cancer Center TACMASR Pathology Core,http://uacc.arizona.edu/research/shared-resources/tacmasr/pathology,united_states
The University of Arizona Cancer Center Proteomics Core,http://uacc.arizona.edu/research/shared-resources/psr,united_states
The University of Arizona Cancer Center Flow Cytometry Core,http://uacc.arizona.edu/research/shared-resources/fcsr,united_states
The University of Arizona Cancer Center TACMASR Microscopy Core,http://uacc.arizona.edu/research/shared-resources/tacmasr/microscopy,united_states
The University of Arizona Cancer Center Experimental Mouse Core,http://uacc.arizona.edu/research/shared-resources/emsr,united_states
The University of Arizona Cancer Center Biostatistics Core,http://uacc.arizona.edu/research/shared-resources/bsr,united_states
